Chromosome	Genomic Position Start	Genomic Position End	MIM Number	Gene/Locus And Other Related Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Phenotypes	moi
chr1	28887100	29120041	130500	EPB41, EL1	Erythrocyte surface protein band 4.1	EPB41	2035	ENSG00000159023	Elliptocytosis-1, 611804 (3), Autosomal recessive, Autosomal dominant	AD/AR
chr1	29167696	29230934	608205	MECR, NRBF1, DYTOABG, OPA16	Mitochondrial trans-2-enoyl-CoA reductase	MECR	51102	ENSG00000116353	Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities, 617282 (3), Autosomal recessive	AR
chr1	30869466	30909735	186357	SDC3, SYND3, SDCN	Syndecan 3	SDC3	9672	ENSG00000162512	{Obesity, association with}, 601665 (3), Autosomal recessive, Multifactorial, Autosomal dominant	AD/AR
chr1	30931506	31065717	607204	PUM1, KIAA0099, SCA47, NEDMSF	Pumilio RNA binding family member 1	PUM1	9698	ENSG00000134644	Spinocerebellar ataxia 47, 617931 (3), Autosomal dominant	AD
chr1	32196011	32205387	610162	CCDC28B, MGC1203	Coiled-coil domain-containing protein 28B	CCDC28B	79140	ENSG00000160050	{Bardet-Biedl syndrome 1, modifier of}, 209900 (3), Digenic recessive, Autosomal recessive	digenic
chr1	32251265	32286165	153390	LCK, IMD22	Lymphocyte-specific protein tyrosine kinase	LCK	3932	ENSG00000182866	?Immunodeficiency 22, 615758 (3), Autosomal recessive	AR
chr1	32775239	32817358	603623	YARS1, YARS, CMTDIC, TYRRS, YTS, YRS, IMNEPD2	Tyrosyl-tRNA synthetase 1	YARS1	8565	ENSG00000134684	Infantile-onset multisystem neurologic, endocrine, and pancreatic disease 2, 619418 (3), Autosomal recessive	AR
chr1	32885996	32894646	142622	HPCA, DYT2	Hippocalcin, 23kD, Ca2+-binding protein	HPCA	3208	ENSG00000121905	Dystonia 2, torsion, autosomal recessive, 224500 (3), Autosomal recessive	AR
chr1	33007940	33036883	103020	AK2	Adenylate kinase-2, mitochondrial	AK2	204	ENSG00000004455	Reticular dysgenesis, 267500 (3), Autosomal recessive	AR
chr1	34759740	34762327	605425	GJB4, CX30.3, EKVP2	Gap junction protein, beta-4	GJB4	127534	ENSG00000189433	Erythrokeratodermia variabilis et progressiva 2, 617524 (3), Autosomal dominant	AD
chr1	34781214	34786364	603324	GJB3, CX31, DFNA2B, EKVP1	Gap junction protein, beta-3	GJB3	2707	ENSG00000188910	Deafness, digenic, GJB2/GJB3, 220290 (3), Digenic dominant, Autosomal recessive	digenic
chr1	35557799	35566779	608458	NCDN, KIAA0607, NEDIES	Neurochondrin	NCDN	23154	ENSG00000020129	Neurodevelopmental disorder with infantile epileptic spasms, 619373 (3), Autosomal dominant	AD
chr1	35869761	35930532	606228	AGO1, EIF2C1, GERP95, EIF2C, NEDLBAS	Argonaute RISC component 1	AGO1	26523	ENSG00000092847	Neurodevelopmental disorder with language delay and behavioral abnormalities, with or without seizures, 620292 (3), Autosomal dominant	AD
chr1	36088892	36093932	610624	ADPRHL2, ARH3, CONDSIAS	ADP-ribosylhydrolase-like 2	ADPRS	54936	ENSG00000116863	Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures, 618170 (3), Autosomal recessive	AR
chr1	36095239	36125222	120252	COL8A2, FECD1, PPCD2	Collagen VIII, alpha-2 polypeptide	COL8A2	1296	ENSG00000171812	Corneal dystrophy, posterior polymorphous 2, 609140 (3), Autosomal dominant	AD
chr1	36466043	36483314	138971	CSF3R, GCSFR, SCN7	Colony-stimulating factor-3 receptor (granulocyte)	CSF3R	1441	ENSG00000119535	Neutropenia, severe congenital, 7, autosomal recessive, 617014 (3), Autosomal recessive	AR
chr1	37534449	37554293	608241	SNIP1, NEDHCS	SMAD nuclear interacting protein 1	SNIP1	79753	ENSG00000163877	Neurodevelopmental disorder with hypotonia, craniofacial abnormalities, and seizures, 614501 (3), Autosomal recessive	AR
chr1	37556940	37566857	602135	DNALI1, P28, SPGF83	Dynein, axonemal, light intermediate polypeptide 1	DNALI1	7802	ENSG00000163879	?Spermatogenic failure 83, 620354 (3), Autosomal recessive	AR
chr1	37611350	37634892	609595	RSPO1, FLJ40906	R-spondin 1	RSPO1	284654	ENSG00000169218	Palmoplantar hyperkeratosis and true hermaphroditism, 610644 (3), Autosomal recessive	AR
chr1	37713880	37765120	611123	EPHA10, DFNA88	Ephrin receptor EphA10	EPHA10	284656	ENSG00000183317	?Deafness, autosomal dominant 88, 620283 (3), Autosomal dominant	AD
chr1	37802945	37808208	612276	YRDC, IRIP, GAMOS10	YRDC domain-containing protein	YRDC	79693	ENSG00000196449	Galloway-Mowat syndrome 10, 619609 (3), Autosomal recessive	AR
chr1	38838198	38859772	608267	RRAGC, RAGC, LNGODS	RAS-related GTP-binding protein C	RRAGC	64121	ENSG00000116954	Long-Olsen-Distelmaier syndrome, 620609 (3), Autosomal dominant	AD
chr1	39084167	39487138	608271	MACF1, ACF7, KIAA1251, LIS9	Microtubule-actin cross-linking factor 1	MACF1	23499	ENSG00000127603	Lissencephaly 9 with complex brainstem malformation, 618325 (3), Autosomal dominant	AD
chr1	39838110	39883511	617840	TRIT1, IPT, COXPD35	tRNA isopentenyltransferase 1	TRIT1	54802	ENSG00000043514	Combined oxidative phosphorylation deficiency 35, 617873 (3), Autosomal recessive	AR
chr1	39955145	39969956	614397	MFSD2A, NEDMISBA	Major facilitator superfamily domain-containing protein 2A	MFSD2A	84879	ENSG00000168389	Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain abnormalities, 616486 (3), Autosomal recessive	AR
chr1	40071461	40097252	600722	PPT1, CLN1	Palmitoyl-protein thioesterase 1	PPT1	5538	ENSG00000131238	Ceroid lipofuscinosis, neuronal, 1, 256730 (3), Autosomal recessive	AR
chr1	40258236	40294180	606480	ZMPSTE24, FACE1, STE24, MADB, RSDM1	Zinc metalloproteinase STE24	ZMPSTE24	10269	ENSG00000084073	Mandibuloacral dysplasia with type B lipodystrophy, 608612 (3), Autosomal recessive	AR
chr1	40300489	40317286	120260	COL9A2, EDM2, STL5	Collagen IX, alpha-2 polypeptide	COL9A2	1298	ENSG00000049089	Epiphyseal dysplasia, multiple, 2, 600204 (3), Autosomal dominant	AD
chr1	40783787	40840452	603537	KCNQ4, DFNA2A	Potassium voltage-gated channel, KQT-like subfamily, member 4	KCNQ4	9132	ENSG00000117013	Deafness, autosomal dominant 2A, 600101 (3), Autosomal dominant	AD
